"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-05","0.06","94","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-06","0.00","95","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-07","0.06","92","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-08","0.02","92","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-09","0.00","92","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-10","0.02","92","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-11","0.00","91","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-12","0.00","93","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-13","0.00","95","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-14","0.00","96","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-15","0.01","89","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-16","0.98","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-17","0.13","91","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-18","0.00","90","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-19","0.16","92","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-20","1.14","76","66"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-21","0.06","87","68"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-22","0.00","89","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-23","0.00","91","71"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-24","0.00","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-25","0.00","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-26","0.00","92","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-27","0.00","93","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-28","0.00","92","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-29","0.00","93","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-30","0.00","89","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-10-31","0.42","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-01","0.00","92","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-02","0.00","92","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-03","0.00","93","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-04","0.00","93","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-05","0.00","92","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-06","0.00","93","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-07","0.00","93","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-08","0.00","93","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-09","0.00","92","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-10","0.00","93","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-11","0.00","92","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-12","0.00","92","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-13","0.00","94","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-14","0.00","95","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-15","0.00","94","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-16","0.01","95","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-17","0.00","94","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-18","0.00","94","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-19","0.00","94","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-20","0.00","94","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-21","0.00","94","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-22","0.00","95","84"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-23","0.27","95","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-24","0.02","96","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-25","0.18","95","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-26","1.39","93","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-27","0.00","92","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-28","0.44","90","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-29","0.26","91","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-11-30","0.14","86","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-01","0.43","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-02","0.43","81","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-03","1.92","84","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-04","0.67","86","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-05","0.41","83","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-06","0.11","90","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-07","0.09","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-08","0.02","91","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-09","0.00","91","83"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-10","0.01","86","83"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-11","0.69","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-12","0.00","90","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-13","0.09","89","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-14","0.09","88","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-15","0.02","89","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-16","0.00","89","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-17","0.00","90","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-18","0.00","89","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-19","0.00","89","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-12-20","0.00","90","81"
